Edad,Sexo,Carrera,Escala,Costo,Antigüedad,Marca,Tipo,RAM,Tiempo de uso,Factor importante,Publicidad,Sistema operativo,Satisfacción
25,Masculino,Ingeniería,D,4900,4,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,6:00:00,Recomendación,Neutral,Windows,Súper satisfecho
18,Masculino,Ingeniería,E,1200,5,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,3:00:00,Regalo,Neutral,Windows,Súper satisfecho
21,Masculino,Ingeniería,C,1899.9,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,4:00:00,Recomendación,Neutral,Windows,Algo satisfecho
20,Masculino,Computación,E,2200,7,Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,10:54:47,Rendimiento,Algo Influenciado,Windows,Neutral
20,Masculino,Ciencias Económicas y Empresariales,B,3999.9,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:30:00,"Precio, Marca, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
19,Masculino,Ingeniería,A,4999.9,4,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:00:00,Rendimiento,Neutral,Windows,Algo satisfecho
18,Femenino,Computación,B,2300,1,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:00:00,Precio,Nada influenciado,Windows,Poco satisfecho
30,Masculino,Ciencias Económicas y Empresariales,B,2000,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,2:15:00,Oferta,Neutral,Windows,Neutral
27,Masculino,Computación,B,6000,2,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,10:00:00,"Marca, Recomendación",Nada influenciado,MacOS,Neutral
18,Femenino,Computación,E,2000,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,1:00:00,Precio,Nada influenciado,Windows,Muy insatisfecho
17,Masculino,Computación,E,1500.9,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,4:40:50,"Precio, Rendimiento, Portabilidad",Nada influenciado,Windows,Algo satisfecho
21,Masculino,Ciencias Económicas y Empresariales,E,3000,4,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,10:00:00,Marca,Algo Influenciado,Windows,Súper satisfecho
21,Masculino,Ciencias Económicas y Empresariales,A,6099,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,4:26:00,Rendimiento,Algo Influenciado,Windows,Algo satisfecho
17,Masculino,Computación,C,2799,3,HP,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",12 GB,3:48:00,Oferta,Poco influenciado,Windows,Poco satisfecho
20,Masculino,Ciencias Naturales o Biológicas,D,1599,1,Toshiba,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,2:45:00,"Oferta, Recomendación, Portabilidad",Nada influenciado,Windows,Muy insatisfecho
22,Femenino,Agronomía y Ciencias Veterinarias,B,3599,4,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",64 GB,5:53:00,"Marca, Recomendación, Rendimiento, Estética",Muy influenciado,MacOS,Súper satisfecho
21,Masculino,Computación,A,5644.5,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",1 T,20:00:00,Rendimiento,Algo Influenciado,Windows,Muy insatisfecho
13,Masculino,Artes,D,1.408,6,LG,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,5:00:00,Rendimiento,Poco influenciado,Windows,Algo satisfecho
18,Femenino,Ingeniería,B,11600,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:00:00,Rendimiento,Neutral,Windows,Súper satisfecho
18,Femenino,Ingeniería,A,2000,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:00:00,Recomendación,Algo Influenciado,Windows,Algo satisfecho
18,Femenino,Ciencias Sociales,E,3300.9,0 (Menos de 1 año),Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,6:30:00,"Marca, Recomendación, Rendimiento, Portabilidad",Nada influenciado,Windows,Neutral
18,Femenino,Derecho y Ciencias Jurídicas,B,3400,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:30:00,"Marca, Recomendación, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
18,Masculino,Ingeniería,C,4499.9,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:30:00,"Rendimiento, Portabilidad",Algo Influenciado,Windows,Súper satisfecho
18,Femenino,Ingeniería,C,1200,1,Apple,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",8 GB,5:30:00,Marca,Neutral,MacOS,Algo satisfecho
18,Masculino,Ciencias Naturales o Biológicas,E,4000,4,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,3:00:00,Rendimiento,Nada influenciado,Windows,Algo satisfecho
50,Masculino,Ciencias de la Salud,B,100,5,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",4 GB,1:00:00,Marca,Nada influenciado,MacOS,Neutral
18,Masculino,Ciencias de la Salud,A,6000,2,victus,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,5:00:00,"Marca, Rendimiento",Muy influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias Económicas y Empresariales,E,2350,0 (Menos de 1 año),HP,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",64 GB,7:10:00,"Precio, Recomendación, Rendimiento, Estética",Algo Influenciado,Windows,Súper satisfecho
18,Masculino,Ciencias Naturales o Biológicas,E,7000,2,Lenovo,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",64 GB,6:00:00,"Marca, Rendimiento, Portabilidad",Nada influenciado,Windows,Súper satisfecho
17,Masculino,Ciencias de la Salud,C,3000,5,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,10:00:00,"Oferta, Rendimiento",Poco influenciado,Windows,Poco satisfecho
18,Masculino,Ciencias de la Salud,D,1000,3,Asus,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",4 GB,8:00:00,Precio,Neutral,Windows,Neutral
18,Masculino,Ciencias de la Salud,D,1799.9,4,Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,6:00:00,"Precio, Marca, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ciencias de la Salud,B,1750,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,12:00:00,Portabilidad,Neutral,Windows,Súper satisfecho
20,Masculino,Ciencias Naturales o Biológicas,D,4244.89,2,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",16 GB,7:00:00,"Oferta, Recomendación, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,C,3500,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,8:30:10,"Rendimiento, Portabilidad, Estética",Muy influenciado,Windows,Súper satisfecho
18,Masculino,Ciencias Naturales o Biológicas,B,2500,0 (Menos de 1 año),Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",1 T,7:00:00,Rendimiento,Algo Influenciado,Windows,Súper satisfecho
19,Masculino,Ciencias de la Salud,B,4999,4,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:54:00,"Precio, Oferta, Marca, Rendimiento",Poco influenciado,Windows,Neutral
18,Femenino,Ingeniería,C,2199.9,4,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,2:30:30,"Recomendación, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
18,Femenino,Ciencias de la Salud,B,3399,0 (Menos de 1 año),Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",64 GB,21:30:00,Rendimiento,Neutral,MacOS,Súper satisfecho
18,Masculino,Ciencias Naturales o Biológicas,D,2899.9,1,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",8 GB,5:00:00,"Precio, Rendimiento",Nada influenciado,Windows,Neutral
18,Femenino,Ciencias de la Salud,B,2000,3,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,4:30:00,"Marca, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,A,3000,5,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,3:00:00,Rendimiento,Neutral,Windows,Poco satisfecho
18,Femenino,Artes,D,7500,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,8:00:00,Rendimiento,Neutral,Windows,Neutral
18,Femenino,Derecho y Ciencias Jurídicas,D,4000,3,Dell,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,5:30:00,"Marca, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ciencias de la Salud,C,2150.9,4,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:30:00,Oferta,Poco influenciado,Windows,Neutral
17,Masculino,Ingeniería,C,6000,12,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,3:30:00,Recomendación,Neutral,Windows,Neutral
18,Masculino,Matemáticas Puras o Aplicadas,E,2000,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:00:00,Precio,Nada influenciado,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,D,4900,1,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,6:00:00,"Recomendación, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias de la Salud,A,4000,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,5:00:00,Recomendación,Neutral,Windows,Algo satisfecho
18,Masculino,Artes,D,3000,3,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:00:00,Oferta,Algo Influenciado,Windows,Algo satisfecho
18,Femenino,Ciencias de la Salud,E,3500,1,Hp,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",1 T,12:05:00,"Marca, Recomendación",Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,B,2100,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,6:00:00,Rendimiento,Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,B,3200,0 (Menos de 1 año),HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,8:30:15,Rendimiento,Algo Influenciado,Windows,Súper satisfecho
19,Masculino,Ingeniería,E,2000,1,Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",32 GB,3:00:00,Rendimiento,Neutral,MacOS,Súper satisfecho
20,Masculino,Ingeniería,E,2400,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,10:23:01,"Precio, Oferta, Marca, Recomendación, Rendimiento, Portabilidad",Neutral,Windows,Súper satisfecho
18,Masculino,Ingeniería,B,2000,4,Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,6:30:00,"Recomendación, Rendimiento",Muy influenciado,Windows,Algo satisfecho
18,Femenino,Ciencias de la Salud,E,6000,0 (Menos de 1 año),Apple,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",1 T,5:30:10,Oferta,Neutral,MacOS,Súper satisfecho
18,Masculino,Ciencias de la Salud,B,2600,0 (Menos de 1 año),HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:30:28,Precio,Nada influenciado,Windows,Súper satisfecho
21,Masculino,Ingeniería,A,7000,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,3:00:00,"Precio, Marca, Rendimiento",Nada influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias de la Salud,B,2000,4,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",64 GB,3:30:30,"Precio, Marca, Rendimiento, Portabilidad",Poco influenciado,Windows,Súper satisfecho
18,Femenino,Ciencias de la Salud,E,2100,2,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,3:30:05,Precio,Neutral,Windows,Algo satisfecho
18,Masculino,Computación,B,3000,0 (Menos de 1 año),Dell,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,12:00:00,Rendimiento,Nada influenciado,Windows,Neutral
19,Masculino,Artes,D,1.1,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,4:32:54,Precio,Neutral,Windows,Algo satisfecho
19,Femenino,Ingeniería,C,2000,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,8:00:00,"Precio, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,B,7459,0 (Menos de 1 año),Apple,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,7:00:00,"Recomendación, Rendimiento, Estética",Poco influenciado,MacOS,Súper satisfecho
18,Masculino,Ciencias de la Salud,E,2499.9,4,Dell,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,5:00:00,Oferta,Neutral,Windows,Algo satisfecho
18,Masculino,Ciencias de la Salud,B,2000,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,1:42:00,"Precio, Oferta, Recomendación",Nada influenciado,Windows,Neutral
21,Masculino,Ingeniería,E,4500,2,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,2:15:00,Rendimiento,Neutral,Windows,Algo satisfecho
19,Masculino,Ciencias de la Salud,A,5600,7,MSI,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,0:15:00,Rendimiento,Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,A,3999,2,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,5:30:00,Rendimiento,Muy influenciado,Windows,Algo satisfecho
23,Masculino,Computación,D,3700,3,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,3:20:05,"Precio, Marca, Portabilidad",Neutral,Linux,Súper satisfecho
17,Femenino,Ingeniería,E,2500,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",64 GB,2:30:00,"Precio, Recomendación, Portabilidad",Poco influenciado,Windows,Neutral
18,Masculino,Ciencias de la Salud,B,1300,10,Toshiba,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",6GB,6:32:40,Precio,Poco influenciado,Windows,Algo satisfecho
20,Masculino,Ciencias de la Salud,D,2100,3,HP,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,6:00:00,Oferta,Nada influenciado,Windows,Algo satisfecho
18,Femenino,Derecho y Ciencias Jurídicas,D,1000,2,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,10:30:00,Precio,Nada influenciado,Windows,Súper satisfecho
19,Masculino,Ingeniería,B,3200,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,4:30:00,Precio,Neutral,Windows,Súper satisfecho
35,Masculino,Ciencias de la Salud,A,3000,5,Microsoft,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",1 T,24:00:00,Estética,Algo Influenciado,Linux,Neutral
21,Masculino,Ingeniería,D,4001.99,2,Asus,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,4:00:00,Rendimiento,Neutral,Windows,Súper satisfecho
18,Masculino,Derecho y Ciencias Jurídicas,C,1500,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,3:00:00,"Recomendación, Rendimiento, Estética",Neutral,Windows,Poco satisfecho
20,Femenino,Ciencias de la Salud,C,2500,2,HP,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",12 GB,9:30:20,"Marca, Recomendación, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Masculino,Artes,D,1800,4,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,0:00:00,Precio,Nada influenciado,Windows,Neutral
19,Masculino,Ciencias Económicas y Empresariales,A,2600,2,LG,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,4:00:00,"Precio, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ciencias Económicas y Empresariales,E,1500,5,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,8:00:00,"Precio, Recomendación",Nada influenciado,Windows,Neutral
19,Masculino,Ingeniería,B,3500,5,MSI,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:06:28,"Marca, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,B,2300,2,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",8 GB,10:00:00,Portabilidad,Poco influenciado,Windows,Algo satisfecho
59,Femenino,Derecho y Ciencias Jurídicas,C,3000,5,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",No lo se,4:30:00,"Oferta, Marca, Rendimiento, Portabilidad",Neutral,Windows,Poco satisfecho
18,Femenino,Humanidades o Letras,D,3900.99,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:30:00,"Precio, Marca, Recomendación, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ingeniería,E,500,10,Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",4 GB,3:30:00,"Precio, Oferta",Nada influenciado,Windows,Muy insatisfecho
17,Femenino,Ciencias de la Salud,C,1900,3,Asus,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",32 GB,4:00:00,"Precio, Oferta, Recomendación, Rendimiento",Poco influenciado,Windows,Algo satisfecho
18,Masculino,Ingeniería,D,4399.9,0 (Menos de 1 año),Asus,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,7:30:00,"Rendimiento, Portabilidad, Estética",Poco influenciado,Windows,Algo satisfecho
18,Masculino,Ingeniería,D,2200,4,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:00:00,"Precio, Marca, Rendimiento",Poco influenciado,Windows,Súper satisfecho
17,Masculino,Computación,D,6000,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,0:06:00,"Precio, Marca, Recomendación, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
17,Masculino,Artes,D,3300.5,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",24,6:30:00,"Precio, Recomendación, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Masculino,Ingeniería,C,6000,0 (Menos de 1 año),Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,3:00:00,"Precio, Rendimiento",Neutral,Windows,Súper satisfecho
18,Masculino,Ciencias de la Salud,D,2200,2,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",8 GB,7:21:52,"Precio, Marca, Rendimiento, Portabilidad, Estética",Algo Influenciado,Windows,Algo satisfecho
18,Masculino,Ciencias Exactas o Físicas,C,3199,3,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,7:00:00,"Oferta, Recomendación, Rendimiento",Neutral,Windows,Súper satisfecho
21,Femenino,Derecho y Ciencias Jurídicas,D,3000,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,10:30:00,"Precio, Recomendación",Neutral,Windows,Algo satisfecho
17,Femenino,Ingeniería,E,4000,5,HP,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,16:00:00,"Precio, Marca",Algo Influenciado,Windows,Neutral
20,Femenino,Derecho y Ciencias Jurídicas,C,3800,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:00:00,"Recomendación, Rendimiento, Estética",Neutral,Windows,Algo satisfecho
18,Masculino,Computación,C,5000,1,Dell,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,4:00:00,"Precio, Marca, Recomendación, Rendimiento, Portabilidad, Estética",Neutral,Windows,Súper satisfecho
18,Femenino,Ingeniería,A,2999.9,5,Lenovo,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",16 GB,2:00:00,"Rendimiento, Portabilidad",Poco influenciado,Windows,Algo satisfecho
18,Femenino,Ingeniería,E,3399,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,4:30:00,"Precio, Oferta, Marca, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
19,Femenino,Ingeniería,A,5000,0 (Menos de 1 año),ThinkPad,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",32 GB,5:00:00,"Precio, Rendimiento",Poco influenciado,Windows,Súper satisfecho
18,Femenino,Ingeniería,D,1900,2,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:30:00,"Precio, Recomendación, Portabilidad",Neutral,Windows,Algo satisfecho
20,Masculino,Computación,B,2000,0 (Menos de 1 año),Acer,"Ultrabook (Ligeras y delgadas. Ej: MacBook Air, Dell XPS 13, Asus ZenBook)",16 GB,5:17:06,"Precio, Oferta, Marca",Poco influenciado,Windows,Algo satisfecho
19,Masculino,Ingeniería,B,2999,9,Toshiba,"Orientada a diseño (Rendimiento gráfico. Ej: MacBook Pro, Microsoft Surface Laptop Studio)",16 GB,8:00:00,Rendimiento,Muy influenciado,Windows,Súper satisfecho
20,Femenino,Ciencias Económicas y Empresariales,D,2100,3,Acer,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,7:50:30,"Precio, Oferta, Marca, Recomendación, Rendimiento",Neutral,Windows,Súper satisfecho
18,Masculino,Computación,B,1500,1,Dell,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",8 GB,6:00:00,"Precio, Rendimiento, Portabilidad",Poco influenciado,Linux,Súper satisfecho
19,Masculino,Ingeniería,B,1500,2,Lenovo,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,4:00:30,"Precio, Rendimiento, Portabilidad",Poco influenciado,Windows,Algo satisfecho
2,Femenino,Computación,C,3000,4,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",16 GB,6:00:00,"Precio, Oferta, Marca, Recomendación, Rendimiento",Nada influenciado,Windows,Neutral
17,Masculino,Computación,D,5500,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,6:00:00,"Precio, Oferta, Marca, Recomendación, Rendimiento",Algo Influenciado,Windows,Súper satisfecho
20,Masculino,Ingeniería,A,5300,2,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:30:00,"Precio, Marca, Rendimiento, Estética",Poco influenciado,Windows,Súper satisfecho
17,Femenino,Ciencias Económicas y Empresariales,E,3449.01,1,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,4:00:00,"Recomendación, Rendimiento",Neutral,Windows,Súper satisfecho
18,Femenino,Derecho y Ciencias Jurídicas,D,2200,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",12 GB,5:00:00,Marca,Neutral,Windows,Súper satisfecho
18,Femenino,Derecho y Ciencias Jurídicas,C,2600,5,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:00:00,Recomendación,Nada influenciado,Windows,Neutral
19,Masculino,Ingeniería,A,3010.8,0 (Menos de 1 año),Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",24,2:29:40,"Precio, Recomendación, Rendimiento",Poco influenciado,Windows,Algo satisfecho
18,Femenino,Artes,E,3998,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",1 T,3:00:00,Rendimiento,Neutral,Windows,Súper satisfecho
21,Femenino,Ingeniería,E,2400,4,HP,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,3:40:12,"Precio, Marca, Rendimiento, Portabilidad",Neutral,Windows,Algo satisfecho
22,Masculino,Ingeniería,A,4500,5,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",8 GB,6:00:00,"Marca, Rendimiento",Algo Influenciado,Windows,Algo satisfecho
